year,cpo_production_malaysia_mt,cpo_production_peninsular_mt,cpo_production_sabah_mt,cpo_production_sarawak_mt,oer_national_pct,oer_peninsular_pct,oer_sabah_pct,oer_sarawak_pct,ffb_yield_malaysia_t_per_ha,ffb_yield_peninsular_t_per_ha,ffb_yield_sabah_t_per_ha,ffb_yield_sarawak_t_per_ha,ending_stocks_total_mt,ending_stocks_cpo_mt,ending_stocks_processed_mt,exports_palm_oil_mt,planted_area_malaysia_ha,provenance,yoy_cpo_production_pct,yoy_ffb_yield_pct,yoy_oer_pct,yoy_stocks_pct,oer_deviation_flag,enso_analog_flag
2010,16993717,9500000,5300000,2200000,20.45,19.91,21.33,20.85,18.03,,,,1615618,710310,905308,16664068,4846822,SOURCE: MPOB Overview_of_Industry_2010.pdf,,,,,False,True
2011,18911520,10370000,5840000,2700000,20.35,20.08,20.74,20.59,19.69,,,,2058400,1066291,992109,17993265,5000109,SOURCE: MPOB Overview_of_Industry_2011.pdf,11.285365055802687,9.206877426511362,-0.4889975550122161,27.406354719989512,False,False
2015,19961581,10536467,5722967,3702147,20.46,20.01,21.57,20.15,18.48,18.77,19.99,16.21,2633940,1593073,1040867,17454213,5642943,SOURCE: MPOB Overview_of_Industry_2015.pdf,5.552493929625957,-6.145251396648044,0.540540540540535,27.960551884959184,False,True
2016,17319177,8886638,4847253,3585286,20.18,19.76,21.11,20.02,15.91,15.77,17.1,14.86,1666673,877082,789591,16045957,5737985,SOURCE: MPOB Overview_of_Industry_2016.pdf,-13.237448476651226,-13.906926406926413,-1.3685239491691203,-36.72319794680213,False,True
2017,19919331,10575920,5215345,4128066,19.72,19.21,20.6,19.98,17.89,18.7,18.35,16.13,2732093,1669196,1062897,16559957,5811145,SOURCE: MPOB Overview_of_Industry_2017.pdf,15.013149874269427,12.445003142677557,-2.279484638255702,63.92495708516308,False,False
2018,19516141,10197446,5139356,4179339,19.95,19.69,20.6,19.85,17.16,17.44,18.16,15.74,3215052,1940680,1274372,16487556,5849330,SOURCE: MPOB Overview_of_Industry_2018.pdf,-2.0241141632718507,-4.080491894913363,1.166328600405686,17.677253299942564,False,False
2019,19858367,10583788,5037168,4237411,20.21,19.93,20.97,20.03,17.19,17.95,17.66,15.56,2010527,1019510,991017,18471065,5900157,SOURCE: MPOB Overview_of_Industry_2019.pdf,1.7535536354241321,0.17482517482518833,1.3032581453634062,-37.46517941233921,False,False
2020,19140613,10438899,4647375,4054339,19.92,19.69,20.74,19.62,16.73,17.76,16.84,14.99,1265698,583811,681887,17395072,5865297,SOURCE: MPOB Overview_of_Industry_2020.pdf,-3.6143656726658313,-2.6759744037231026,-1.4349332013854466,-37.046455978954775,False,False
2021,18116354,9846997,4361537,3907820,20.01,19.83,20.55,19.88,15.47,16.24,15.77,13.94,1614594,852877,761717,15566439,5737731,SOURCE: MPOB Overview2021.pdf,-5.351234048773668,-7.531380753138073,0.45180722891566827,27.56550140712872,False,False
2022,18453420,10161330,4286665,4005425,19.7,19.57,20.25,19.47,15.49,16.41,15.39,14.13,2196574,1293873,902701,15712068,5674742,SOURCE: MPOB Overview2022.pdf,1.8605620093314679,0.12928248222365823,-1.5492253873063633,36.044974773844075,False,False
2023,18551950,9825140,4507460,4219350,19.86,19.64,20.4,19.83,15.79,16.09,16.39,14.75,2290793,1197668,1093125,15130738,5652569,SOURCE: MPOB Overview2023.pdf,0.5339389663271188,1.9367333763718353,0.8121827411167626,4.2893615239004035,False,False
2024,19338266,10891417,4274440,4172409,19.67,19.46,20.53,19.37,16.7,18.42,15.74,14.89,1708756,894330,814426,16902595,5612852,SOURCE: MPOB Overview2024.pdf,4.238454717698148,5.763141228625712,-0.9566968781470231,-25.407664507443496,False,False
2025,20283475,11376845,4410291,4496339,19.74,19.62,20.31,19.51,17.77,19.49,16.76,15.98,3051147,1821781,1229366,15272823,5700050,SOURCE: MPOB Overview2025.pdf,4.887765014712286,6.407185628742518,0.3558718861209842,78.55954858388208,False,False
