year,country,exports_1000mt,yoy_exports_pct,provenance
2010,Malaysia,16664.068,,SOURCE: MPOB Overview_of_Industry_2010.pdf
2011,Malaysia,17993.265,7.976425684292687,SOURCE: MPOB Overview_of_Industry_2011.pdf
2015,Malaysia,17454.213,-2.995854282143906,SOURCE: MPOB Overview_of_Industry_2015.pdf
2016,Malaysia,16045.957,-8.06828700898745,SOURCE: MPOB Overview_of_Industry_2016.pdf
2017,Malaysia,16559.957,3.203299123885217,SOURCE: MPOB Overview_of_Industry_2017.pdf
2018,Malaysia,16487.556,-0.43720524153533225,SOURCE: MPOB Overview_of_Industry_2018.pdf
2019,Malaysia,18471.065,12.03033973015768,SOURCE: MPOB Overview_of_Industry_2019.pdf
2020,Malaysia,17395.072,-5.825289445952353,SOURCE: MPOB Overview_of_Industry_2020.pdf
2021,Malaysia,15566.439,-10.512362351820103,SOURCE: MPOB Overview2021.pdf
2022,Indonesia,29000.0,,"SOURCE: USDA GAIN ID2022-0007 Jakarta March 23, 2022"
2022,Malaysia,15712.068,0.9355318836890003,SOURCE: MPOB Overview2022.pdf
2023,Indonesia,28400.0,-2.0689655172413834,"SOURCE: USDA GAIN ID2023-0005 Jakarta March 20, 2023"
2023,Malaysia,15130.738,-3.699894883346988,SOURCE: MPOB Overview2023.pdf
2024,Indonesia,27600.0,-2.8169014084507005,"SOURCE: USDA GAIN ID2024-0004 Jakarta March 20, 2024"
2024,Malaysia,16902.595,11.71031446053723,SOURCE: MPOB Overview2024.pdf
2025,Indonesia,23000.0,-16.666666666666664,"SOURCE: USDA GAIN ID2025-0015 Jakarta April 14, 2025"
2025,Malaysia,15272.823,-9.64214074821056,SOURCE: MPOB Overview2025.pdf
2026,Indonesia,24000.0,4.347826086956519,"SOURCE: USDA GAIN ID2026-0013 Jakarta April 15, 2026"
