year,oer_national_pct,oer_peninsular_pct,oer_sabah_pct,oer_sarawak_pct,ffb_yield_malaysia_t_per_ha,yoy_oer_pct,yoy_ffb_yield_pct,enso_analog_flag,provenance,below_threshold_flag
2010,20.45,19.91,21.33,20.85,18.03,,,True,SOURCE: MPOB Overview_of_Industry_2010.pdf,False
2011,20.35,20.08,20.74,20.59,19.69,-0.4889975550122161,9.206877426511362,False,SOURCE: MPOB Overview_of_Industry_2011.pdf,False
2015,20.46,20.01,21.57,20.15,18.48,0.540540540540535,-6.145251396648044,True,SOURCE: MPOB Overview_of_Industry_2015.pdf,False
2016,20.18,19.76,21.11,20.02,15.91,-1.3685239491691203,-13.906926406926411,True,SOURCE: MPOB Overview_of_Industry_2016.pdf,False
2017,19.72,19.21,20.6,19.98,17.89,-2.279484638255702,12.445003142677557,False,SOURCE: MPOB Overview_of_Industry_2017.pdf,False
2018,19.95,19.69,20.6,19.85,17.16,1.166328600405686,-4.080491894913363,False,SOURCE: MPOB Overview_of_Industry_2018.pdf,False
2019,20.21,19.93,20.97,20.03,17.19,1.3032581453634062,0.1748251748251883,False,SOURCE: MPOB Overview_of_Industry_2019.pdf,False
2020,19.92,19.69,20.74,19.62,16.73,-1.4349332013854466,-2.6759744037231026,False,SOURCE: MPOB Overview_of_Industry_2020.pdf,False
2021,20.01,19.83,20.55,19.88,15.47,0.4518072289156682,-7.531380753138073,False,SOURCE: MPOB Overview2021.pdf,False
2022,19.7,19.57,20.25,19.47,15.49,-1.5492253873063633,0.1292824822236582,False,SOURCE: MPOB Overview2022.pdf,False
2023,19.86,19.64,20.4,19.83,15.79,0.8121827411167626,1.9367333763718355,False,SOURCE: MPOB Overview2023.pdf,False
2024,19.67,19.46,20.53,19.37,16.7,-0.9566968781470232,5.763141228625712,False,SOURCE: MPOB Overview2024.pdf,False
2025,19.74,19.62,20.31,19.51,17.77,0.3558718861209842,6.407185628742518,False,SOURCE: MPOB Overview2025.pdf,False
